prompt,completion
17 Wicked Items That'll Bring Out Your Inner Disney Villain,1
17 Winter Hacks That Canadians Swear By,1
17 Winter Struggles Only Canadians Parents Can Truly Understand,1
17 Women Confessed What They Really Think About Receiving Oral Sex,1
17 Women Who Prove That Lips Look Best When They're Purple,1
17 Women Whose Pin-Up Hair And Makeup Will Make You Want To Turn Back Time,1
17 Wonderful Activities For Alice In Wonderland Fans,1
17 Words That Have A Different Meaning When You Really Love Halloween,1
"17 Words That Have A Different Meaning When You're A ""Friday Night Lights"" Fan",1
17 Words That Mean Something Completely Different To Long-Distance BFFs,1
17 Words That Take On New Meaning When You Have Periods,1
17 Words You've Been Pronouncing Wrong For Years,1
17 YA Novels That Are Definitely Morally Complicated,1
17 You Know If You And Your Partner Are Basically The Same Person,1
"17 Young Adult Novels You Should Read, Based On Your Favorite Literary Classics",1
17 YouTube Channels That Will Teach You A Damn Thing,1
"18 ""Sexy"" Costumes For Guys That Will Make You Lose Your Faith In Halloween",1
"18 ""Star Wars"" Cast Photos That Will Awaken The Force Within You",1
18 Adele Lyrics That'll Make You Cry Every Time,1
18 Adorable Dogs Who Are So Ready For Fall,1
18 Adorable Illustrations Of Untranslatable Words About Love,1
18 Ads From 1915 That Prove We've Come A Long Way In 100 Years,1
18 Adults Reveal Their Horrifyingly Weird Stories About How They Lost A Tooth,1
18 Amazing Disney Song Covers On YouTube,1
18 American Girl Books That Literally Saved Your Life Growing Up,1
18 Animals So Weird They're Probably Fake,1
18 Animals Who Are Very Impressed With You And Your Life,1
18 Apple And Honey Recipes That Will Impress Your Jewish Grandma,1
18 Apple Desserts That Will Totally Change Your Life Forever,1
18 Awesome Gifts For Your Best Friend Who's Over Valentine's Day,1
18 Awesome Holiday Traditions Your Family Should Try This Year,1
18 Baby Rhinos Learning How To Rhino,1
18 Badass Portraits From Glamour's Women Of The Year Awards,1
18 Boobs That Are Actually Christmas Miracles,1
18 Books That'll Win The Heart Of Your Valentine,1
18 Booty Call Confessions That Are All Too Real,1
18 Breathtaking Mexican Treats That Will Make You Drool Uncontrollably,1
18 Breathtakingly Photographic Locations In Wales,1
18 British TV Shows That Sadly Didn't Return In 2015,1
18 Brutal Texts Your Period Would Send You,1
18 Brutally Honest Confessions From A Club Promoter,1
18 Cake GIFs That'll Make You Moist,1
18 Cats Who Are Proving They Are Liquids,1
18 Cats Who Are Ready For Christmas,1
18 Cats Who Are Very Happy With Themselves,1
18 Cats Who Don't Believe In Books,1
"18 Cats Who Just Had A Really Long, Hard Day",1
18 Celebrities Who Were Really Hot When They Were Younger,1
18 Celebrity Instagrams You Need To See This Week,1
18 Celebrity Men Who Are Actually Just Really Pleased To See You,1
18 Celebrity Snapchat Accounts That'll Change Your Snap Life,1
"18 Celebs You Totally Forgot Were On ""Gilmore Girls""",1
18 Charts That Will Speak To Anyone Who's Nailing This Whole Healthy Thing,1
18 Cheese Jokes That Are So Dumb They're Actually Genius,1
18 Chelsea Handler Quotes For When You Need A Sassy Comeback,1
"18 Clever Imgur Posts That All ""Back To The Future"" Fans Will Love",1
