prompt,completion
Cardinals Advance to First Super Bowl,0
Cardinals Reach a Summit That the Steelers Know Well,0
Cargo plane crash in Sudan leaves seven dead with one survivor,0
"Cargo plane crashes in Alaska's Denali Park, sparks wildfire",0
"Cargo plane crashes in Dubai, two dead",0
Cargo plane crashes near Khartoum; at least four dead,0
Cargo ship Arctic Sea may be found,0
Cargo Vessel grounded South of Gibraltar,0
Carling Cup: Match abandoned after player collapses,0
Carolina Eliminates Devils With Two Late Goals,0
Carriers Sweeten the Deal for Prepaid Cellphones,0
"Carrying Memories of Ex-Coach Skip Prosser, Wake Forest Thrives",0
Carter: Race relations in Palestine are worse than apartheid,0
"Carter: US ""likely behind"" Venezuela coup",0
"Carter's CIA chief labels Dick Cheney ""vice president for torture""",0
Carwashes Accused of Labor Violations,0
Case Against Ex-Leader Stirs Unease in Taiwan,0
Case Could Open Borders of Doping Fight in Cycling,0
"Casey Is Ranked No. 3, and That First Major Title Beckons",0
Casey Stoner wins 2011 British MotoGP,0
Casey Stoner wins 2011 Catalunya MotoGP,0
Cash Cards Appearing in More Wallets,0
"Cash in Hand, Technology Giants Go Shopping",0
Cashman Takes Issue With Book Anecdote About Giambi,0
Cashmere Makers in China Are Feeling a Chill,0
"Caspian Airlines Jet Crashes in Iran, Killing 168",0
Cassini discovers organic material on Saturn moon,0
Cassini discovers Saturn moon atmosphere,0
Cassini space probe to flyby Saturn's moon Iapetus,0
Cassini spacecraft captures large storm on Saturn,0
Cassini spacecraft collects sample from geyser on Saturn's moon Enceladus,0
Cast of BBC's Strictly Come Dancing announced,0
Cast of Bratz appears in Canada to promote film release,0
Castor Pollux Wins Madoff Trading Business at Auction,0
Castroneves Is All Smiles Again After Leaving Tax Problems Behind,0
"Cat in Rhode Island, USA nursing home 'senses death'",0
Caterpillars force temporary closure of Wisconsin state park,0
Cathay Pacific Cuts Costs as Air Travel Remains Sluggish,0
Catholic Church prepares for papal election conclave,0
Catholic Democrats tell Chicago Cardinal George not to pull funding from immigration campaigners supporting same-sex marriage,0
Catholic pilgrimage in DonglÃ¼ blocked by Chinese police again,0
Cattle Rustling Plagues Ranchers,0
Cautious Optimism About Consumer Spending,0
Cavaliers Agree to Sell Stake to Chinese Investment Group,0
Cavaliers Give Cleveland a Shot at Reversing Roles,0
Cavaliers Have Been Dominant but Not Intriguing,0
"Cavendish, a Top Sprinter, Lets a Chance to Win a Giro Stage Slip Away",0
CBC lockout enters sixth day,0
CBC service returns to normal tomorrow,0
CBS blog criticizes stations' coverage of Tigger incident,0
CBS Corporation begins trading on New York Stock Exchange,0
CBS fires radio personality Don Imus,0
CBS Pumps Up TV.com to Create a Destination,0
Ceasefire signed in Georgian-Russian conflict,0
Celebrity bear Knut dies suddenly at the Berlin Zoo,0
Celebrity plastic surgeon Dr. Frank Ryan dies in car accident aged 50,0
Celebrity Priest Says He Is Torn Between Church and Girlfriend,0
Cellphone Abilities That Go Untapped,0
Cellphone Makers Hope for a Blockbuster Summer,0
Cellphones as Credit Cards? Americans Must Wait,0
Celtic defeat Aberdeen 9-0,0
Celtics Rebuff a Challenger to Their Throne,0
Celtics-Bulls Series Marked by Big Shots and Rugged Play,0
Census Finds Fewer Homes Have a Child in Residence,0
Centennial of 'father of contemporary Thai cinema' celebrated,0
Central banks worldwide cut interest rates,0
"Central Michigan quarterback sets passing record, becomes finalist for award",0
Centrica Agrees to Buy Stake in E.D.F.'s British Energy,0
"CEO of GM outlines plan for ""New GM"" after auto company declared bankruptcy",0
Ceremony takes place for decommissioned Royal Navy flagship,0
Ceremony to Name Court for Carril Is Also a Sad Reminder,0
CERN says repairs to LHC particle accelerator to cost US$21 million,0
ChÃ¡vez accuses US of plotting separation of oil rich state,0
Chad calls for UN troops to withdraw,0
"Chad declares border with Sudan a ""military operations zone""",0
Chad Says It Hit Rebels in Air Raids Inside Sudan,0
Challenge to Landmark Law Worries Preservationists,0
Chamberlain and Lester Warm Up on a Connecticut Stage,0
Chameleon snake discovered in Borneo,0
"Champaign, Illinois mayor doubts Obama's natural-born citizenship; local politicians divided on whether mayor should resign",0
Champions League Final May Settle Ronaldo-Messi Debate,0
Champions League round of sixteenâ€”first leg results,0
Chances for N.C.A.A. Tournament Midmajors to Slay Some Giants,0
Chanchangi Airlines 737 crashes on landing in Nigeria,0
Chandra X-Ray Observatory illuminates Supernova 1987A,0
Change at Union May Re-energize Hollywood Talks,0
Changes in Fred Thompson US Presidential campaign,0
Changes Proposed to Election of Corporate Boards,0
Channel Tunnel between France and Britain resumes limited service after major fire,0
Chantelle wins Celebrity Big Brother,0
Chargers Consider Loss a Learning Experience,0
Charities Now Seek Bankruptcy Protection,0
"Charity haircuts and collaborative art at spring festival in Cambridge, Massachusetts",0
Charles B. Rangel,0
Charles Manson releases album under free license,0
Charles Taylor to Speak at War Crimes Trial,0
Charlie the smoking chimpanzee dies aged 52,0
Charm and Atmosphere in Montevideo's Old Town,0
Charter Communications Files for Reorganization,0
Charter Communications to File for Bankruptcy,0
"20 Tweets That Perfectly Capture The ""Fallout 4"" Experience",1
20 Underrated Actors Who Deserve Some Emmy Love,1
20 Vintage Inventions That Are Actually Borderline Genius,1
20 Vintage Photos That Capture Black College Student Life In The 1940s,1
"20 Ways To Live Forever, According To The News",1
20 Wonderful Local Stores From The Northwest You Can Shop Online,1
20 Words You Don't Actually Understand Unless You're In A Sorority,1
"20 Years Ago, This Is What The Golden Globes Looked Like",1
"20 Years Ago, This Is What Winter Looked Like",1
2015 Was The Year Shibas Proved They Were More Than A Meme,1
