prompt,completion
#CampingWithDogs Will Give You The Cutest Case Of Wanderlust,1
#ChickenTweet As Motivational Posters,1
#COCKROACHESANDCHER Is The Most Important Hashtag Of This Century,1
#FlotusBars Is The Best Thing You'll See All Day,1
#FreeTheNipple Investigated By Naked Mike,1
$500k Of Student Loan Debt In 37 Seconds,1
**For Agent Jack Raze Only. STOP. Do Not Read**,1
*NSYNC Vs. Backstreet Boys,1
1 Dress 5 Holiday Styles,1
1 Indian + 1 Indian = Unrelatable: Television's Race Equations,1
1 Terrible Photoshop Of Regis Philbin In Princess Leia's Bikini,1
1 Trip To Trader Joe's + $20 = 5 Easy Vegan Dinners,1
"10 ""Friends"" Trivia Questions Every True Fan Should Be Able To Answer",1
10 Adorable Animals That Climate Change Is Killing Off,1
10 Adorable Kids Who Have Way Better Style Than You,1
10 Amazing Candid Wedding Moments You Won't Believe Were Captured On Camera,1
10 Amazing Donuts That Should Be Mandatory Eating This Fall,1
10 Anime Series You Need To Watch Before You Die,1
10 Awesome Things You Can Make Out Of Duct Tape,1
10 Awkward First Kiss Confessions,1
10 Badass Hairstyles You Need To Try Immediately,1
10 Bold New Hair Color Trends You Should Try In 2016,1
10 Books That Will Get You In The Mood On Valentine's Day,1
10 Boozy Drinks For People Who Love Candy,1
10 Brilliant Pieces Of Life Advice From Ryan Reynolds To His Fans,1
"10 Brilliantly Fashionable Ways To Low-Key Dress As Your Favorite ""Star Wars"" Character",1
10 Celebrities Who Look Exactly Like '00s Disney Channel Characters,1
10 Celebrities You Might Not Know Were Muslim,1
10 Celebrity Red Carpet Looks That Are Out Of This World,1
10 Celebs That Have Been Drinking From The Fountain Of Youth,1
10 Celebs Who Look Hotter With Man Buns,1
10 Cheating Confessions,1
10 Christmas Movie Drinking Games You'll Want To Play This Year,1
10 Comics Only Servers Will Understand,1
10 Delicious Recipes That Are Made With Coconut Milk,1
10 Delicious Recipes That Make Eating Healthy Fun,1
10 DIY Projects We Totally Failed At In 2015,1
"10 Excuses To Use To Play Hooky For ""STAR WARS: THE FORCE AWAKENS""",1
10 Foods You Didn't Know Had Nuts In Them,1
10 Ghosts Who Don't Even Know It's Halloween,1
10 Gin Cocktails With 4 Ingredients Or Fewer,1
10 Go-Go Remakes You Absolutely Must Hear,1
10 Guy Fieri Valentines Guaranteed To Get You Some Triple D,1
10 Hairstyles For Curly Hair You Need To Try ASAP,1
